수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:52:11,아파트,232847,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,65000,0,65000,84.91,25.68,29,,https://www.zigbang.com/home/apt/items/232847
2026-06-04 06:52:11,아파트,48503842,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,44000,0,44000,84.55,25.58,저,,https://www.zigbang.com/home/apt/items/48503842
2026-06-04 06:52:11,아파트,48429336,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,65000,0,65000,84.96,25.7,중,,https://www.zigbang.com/home/apt/items/48429336
2026-06-04 06:52:11,아파트,47178910,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,44000,0,44000,84.55,25.58,고,,https://www.zigbang.com/home/apt/items/47178910
2026-06-04 06:52:11,아파트,47178894,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,63000,0,63000,84.98,25.71,고,,https://www.zigbang.com/home/apt/items/47178894
2026-06-04 06:52:11,아파트,47178861,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,58000,0,58000,84.98,25.71,고,,https://www.zigbang.com/home/apt/items/47178861
2026-06-04 06:52:11,아파트,47178853,매매,일광신도시대성베르힐,,기장군,부산광역시 기장군 기장읍,45000,0,45000,84.55,25.58,저,,https://www.zigbang.com/home/apt/items/47178853
2026-06-04 06:52:11,아파트,47178841,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,58000,0,58000,84.97,25.7,중,,https://www.zigbang.com/home/apt/items/47178841
2026-06-04 06:52:11,아파트,48358440,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,61790,0,61790,84.89,25.68,25,,https://www.zigbang.com/home/apt/items/48358440
2026-06-04 06:52:11,아파트,47178609,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,58430,0,58430,84.89,25.68,중,,https://www.zigbang.com/home/apt/items/47178609
2026-06-04 06:52:11,아파트,48943946,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,60000,0,60000,84.91,25.68,중,,https://www.zigbang.com/home/apt/items/48943946
2026-06-04 06:52:11,아파트,47145280,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,67000,0,67000,84.97,25.7,고,,https://www.zigbang.com/home/apt/items/47145280
2026-06-04 06:52:11,아파트,47144882,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,59740,0,59740,84.6,25.59,29,,https://www.zigbang.com/home/apt/items/47144882
2026-06-04 06:52:11,아파트,47129562,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,62000,0,62000,96.18,29.09,중,,https://www.zigbang.com/home/apt/items/47129562
2026-06-04 06:52:11,아파트,48670024,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,58000,0,58000,84.98,25.71,고,,https://www.zigbang.com/home/apt/items/48670024
2026-06-04 06:52:11,아파트,47461800,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,67000,0,67000,84.97,25.7,중,,https://www.zigbang.com/home/apt/items/47461800
2026-06-04 06:52:11,아파트,47021313,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,49000,0,49000,84.98,25.71,1,,https://www.zigbang.com/home/apt/items/47021313
2026-06-04 06:52:11,아파트,46980273,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,51000,0,51000,84.91,25.68,저,,https://www.zigbang.com/home/apt/items/46980273
2026-06-04 06:52:11,아파트,46979803,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,50000,0,50000,75.55,22.86,중,,https://www.zigbang.com/home/apt/items/46979803
2026-06-04 06:52:11,아파트,46979453,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,58000,0,58000,84.98,25.71,고,,https://www.zigbang.com/home/apt/items/46979453
2026-06-04 06:52:11,아파트,46976416,매매,일광한신더휴센트럴포레2단지,,기장군,부산광역시 기장군 기장읍,52000,0,52000,84.94,25.69,저,,https://www.zigbang.com/home/apt/items/46976416
