[05:57:36] 캐시 로드: 0개 완료 항목
[05:57:36] ==============================================================
[05:57:36]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:57:36]   precision: 5 → 7 | 세분화 임계: 400건
[05:57:36]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260703
[05:57:36] ==============================================================
[05:57:36] 지오해시 타일: 16891개 (precision=5)
[05:57:36] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:57:47]   읍면동 18401개 확인
[07:05:53]   10500/50673 타일 | 839건 | 4096s
[07:05:58]   10600/50673 타일 | 839건 | 4101s
[07:06:03]   10700/50673 타일 | 839건 | 4106s
[07:06:08]   10800/50673 타일 | 863건 | 4112s
[07:06:13]   10900/50673 타일 | 863건 | 4116s
[07:06:18]   11000/50673 타일 | 863건 | 4121s
[07:06:23]   11100/50673 타일 | 863건 | 4126s
[07:06:28]   11200/50673 타일 | 863건 | 4131s
[07:06:33]   11300/50673 타일 | 863건 | 4136s
[07:06:37]   11400/50673 타일 | 863건 | 4141s
[07:06:42]   11500/50673 타일 | 863건 | 4146s
[07:06:48]   11600/50673 타일 | 863건 | 4151s
[07:06:53]   11700/50673 타일 | 863건 | 4156s
[07:06:57]   11800/50673 타일 | 868건 | 4161s
[07:07:04]   11900/50673 타일 | 894건 | 4167s
[07:07:04]     🔍 세분화: 원룸/wyd3k → 426건 (p5→6)
[07:07:04]     🔍 세분화: 원룸/wyd3m → 580건 (p5→6)
[07:07:04]     🔍 세분화: 원룸/wyd3t → 690건 (p5→6)
[07:07:15]   12000/50673 타일 | 969건 | 4179s
[07:07:17]     🔍 세분화: 원룸/wyd77 → 1085건 (p5→6)
[07:07:18]     🔍 세분화: 원룸/wyd7d → 560건 (p5→6)
[07:07:18]     🔍 세분화: 원룸/wyd7f → 529건 (p5→6)
[07:07:18]     🔍 세분화: 원룸/wyd7g → 558건 (p5→6)
[07:07:20]     🔍 세분화: 원룸/wyd7s → 509건 (p5→6)
[07:07:26]     🔍 세분화: 원룸/wyd8k → 578건 (p5→6)
[07:07:28]     🔍 세분화: 원룸/wyd8t → 423건 (p5→6)
[07:07:35]   12100/50673 타일 | 1,082건 | 4199s
[07:07:43]   12200/50673 타일 | 1,153건 | 4206s
[07:07:49]   12300/50673 타일 | 1,228건 | 4212s
[07:07:49]     🔍 세분화: 원룸/wydh5 → 451건 (p5→6)
[07:07:51]     🔍 세분화: 원룸/wydhk → 619건 (p5→6)
[07:07:54]     🔍 세분화: 원룸/wydj4 → 767건 (p5→6)
[07:07:54]     🔍 세분화: 원룸/wydj5 → 402건 (p5→6)
[07:07:54]     🔍 세분화: 원룸/wydj7 → 604건 (p5→6)
[07:07:55]     🔍 세분화: 원룸/wydj9 → 415건 (p5→6)
[07:08:00]     🔍 세분화: 원룸/wydjp → 575건 (p5→6)
[07:08:02]     🔍 세분화: 원룸/wydjr → 774건 (p5→6)
[07:08:07]     🔍 세분화: 원룸/wydjw → 530건 (p5→6)
[07:08:10]     🔍 세분화: 원룸/wydk4 → 565건 (p5→6)
[07:08:15]     🔍 세분화: 원룸/wydm0 → 579건 (p5→6)
[07:08:15]     🔍 세분화: 원룸/wydm2 → 487건 (p5→6)
[07:08:17]     🔍 세분화: 원룸/wydm6 → 1259건 (p5→6)
[07:08:17]     🔍 세분화: 원룸/wydm8 → 816건 (p5→6)
[07:08:19]   12400/50673 타일 | 1,374건 | 4243s
[07:08:20]     🔍 세분화: 원룸/wydmd → 436건 (p5→6)
[07:08:20]     🔍 세분화: 원룸/wydme → 985건 (p5→6)
[07:08:22]     🔍 세분화: 원룸/wydmf → 1108건 (p5→6)
[07:08:25]     🔍 세분화: 원룸/wydmg → 1293건 (p5→6)
[07:08:32]     🔍 세분화: 원룸/wydmk → 411건 (p5→6)
[07:08:35]     🔍 세분화: 원룸/wydmw → 484건 (p5→6)
[07:08:36]     🔍 세분화: 원룸/wydn1 → 562건 (p5→6)
[07:08:45]     🔍 세분화: 원룸/wydq4 → 546건 (p5→6)
[07:08:47]   12500/50673 타일 | 1,430건 | 4270s
[07:08:55]   12600/50673 타일 | 1,529건 | 4279s
[07:09:01]   12700/50673 타일 | 1,566건 | 4285s
[07:09:07]   12800/50673 타일 | 1,590건 | 4290s
[07:09:12]   12900/50673 타일 | 1,599건 | 4295s
[07:09:17]   13000/50673 타일 | 1,608건 | 4300s
[07:09:22]   13100/50673 타일 | 1,621건 | 4305s
[07:09:27]   13200/50673 타일 | 1,621건 | 4310s
[07:09:31]   13300/50673 타일 | 1,621건 | 4315s
[07:09:37]   13400/50673 타일 | 1,621건 | 4320s
[07:09:42]   13500/50673 타일 | 1,621건 | 4325s
[07:09:46]   13600/50673 타일 | 1,621건 | 4330s
[07:09:52]   13700/50673 타일 | 1,623건 | 4335s
[07:09:57]   13800/50673 타일 | 1,633건 | 4341s
[07:10:06]   13900/50673 타일 | 1,633건 | 4349s
[07:10:11]   14000/50673 타일 | 1,633건 | 4354s
[07:10:16]   14100/50673 타일 | 1,633건 | 4359s
[07:10:21]   14200/50673 타일 | 1,633건 | 4364s
[07:10:25]   14300/50673 타일 | 1,633건 | 4369s
[07:10:30]   14400/50673 타일 | 1,633건 | 4374s
[07:10:35]   14500/50673 타일 | 1,633건 | 4379s
[07:10:41]   14600/50673 타일 | 1,634건 | 4384s
[07:10:46]   14700/50673 타일 | 1,634건 | 4389s
[07:10:51]   14800/50673 타일 | 1,634건 | 4394s
[07:10:56]   14900/50673 타일 | 1,634건 | 4400s
[07:11:01]   15000/50673 타일 | 1,634건 | 4405s
[07:11:06]   15100/50673 타일 | 1,634건 | 4409s
[07:11:11]   15200/50673 타일 | 1,634건 | 4415s
[07:11:16]   15300/50673 타일 | 1,634건 | 4420s
[07:11:22]   15400/50673 타일 | 1,634건 | 4426s
[07:11:27]   15500/50673 타일 | 1,634건 | 4430s
[07:11:32]   15600/50673 타일 | 1,634건 | 4435s
[07:11:37]   15700/50673 타일 | 1,634건 | 4441s
[07:11:42]   15800/50673 타일 | 1,634건 | 4446s
[07:11:47]   15900/50673 타일 | 1,647건 | 4451s
[07:11:52]   16000/50673 타일 | 1,647건 | 4456s
[07:11:57]   16100/50673 타일 | 1,647건 | 4461s
[07:12:02]   16200/50673 타일 | 1,647건 | 4466s
[07:12:09]   16300/50673 타일 | 1,647건 | 4472s
[07:12:13]   16400/50673 타일 | 1,647건 | 4477s
[07:12:18]   16500/50673 타일 | 1,647건 | 4482s
[07:12:23]   16600/50673 타일 | 1,647건 | 4487s
[07:12:28]   16700/50673 타일 | 1,647건 | 4492s
[07:12:33]   16800/50673 타일 | 1,647건 | 4496s
[07:12:38]   16900/50673 타일 | 1,647건 | 4501s
[07:12:43]   17000/50673 타일 | 1,647건 | 4506s
[07:12:47]   17100/50673 타일 | 1,647건 | 4511s
[07:12:52]   17200/50673 타일 | 1,647건 | 4516s
[07:12:57]   17300/50673 타일 | 1,647건 | 4521s
[07:13:03]   17400/50673 타일 | 1,647건 | 4526s
[07:13:07]   17500/50673 타일 | 1,647건 | 4531s
[07:13:13]   17600/50673 타일 | 1,651건 | 4536s
[07:13:18]   17700/50673 타일 | 1,677건 | 4541s
[07:13:23]   17800/50673 타일 | 1,692건 | 4546s
[07:13:27]   17900/50673 타일 | 1,692건 | 4551s
[07:13:32]   18000/50673 타일 | 1,703건 | 4556s
[07:13:37]   18100/50673 타일 | 1,703건 | 4561s
[07:13:42]   18200/50673 타일 | 1,703건 | 4566s
[07:13:47]   18300/50673 타일 | 1,703건 | 4571s
[07:13:52]   18400/50673 타일 | 1,703건 | 4575s
[07:13:57]   18500/50673 타일 | 1,703건 | 4580s
[07:14:01]   18600/50673 타일 | 1,703건 | 4585s
[07:14:07]   18700/50673 타일 | 1,703건 | 4590s
[07:14:12]   18800/50673 타일 | 1,703건 | 4595s
[07:14:16]   18900/50673 타일 | 1,703건 | 4600s
[07:14:21]   19000/50673 타일 | 1,703건 | 4605s
[07:14:26]   19100/50673 타일 | 1,703건 | 4610s
[07:14:32]   19200/50673 타일 | 1,703건 | 4615s
[07:14:37]   19300/50673 타일 | 1,703건 | 4620s
[07:14:42]   19400/50673 타일 | 1,703건 | 4625s
[07:14:46]   19500/50673 타일 | 1,703건 | 4630s
[07:14:51]   19600/50673 타일 | 1,703건 | 4635s
[07:14:56]   19700/50673 타일 | 1,703건 | 4640s
[07:15:02]   19800/50673 타일 | 1,703건 | 4645s
[07:15:08]   19900/50673 타일 | 1,711건 | 4651s
[07:15:12]   20000/50673 타일 | 1,711건 | 4656s
[07:15:18]   20100/50673 타일 | 1,714건 | 4661s
[07:15:23]   20200/50673 타일 | 1,714건 | 4666s
[07:15:27]   20300/50673 타일 | 1,714건 | 4671s
[07:15:32]   20400/50673 타일 | 1,714건 | 4676s
[07:15:38]   20500/50673 타일 | 1,714건 | 4682s
[07:15:43]   20600/50673 타일 | 1,715건 | 4687s
[07:15:48]   20700/50673 타일 | 1,722건 | 4692s
