[03:06:30] 캐시 로드: 0개 완료 항목
[03:06:30] ==============================================================
[03:06:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:06:30]   precision: 5 → 7 | 세분화 임계: 400건
[03:06:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260821
[03:06:30] ==============================================================
[03:06:30] 지오해시 타일: 16891개 (precision=5)
[03:06:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:06:39]   읍면동 18401개 확인
[04:20:04]     🔍 세분화: 원룸/wydn1 → 513건 (p5→6)
[04:20:11]     🔍 세분화: 원룸/wydq4 → 459건 (p5→6)
[04:20:12]   12500/50673 타일 | 1,490건 | 4422s
[04:20:21]   12600/50673 타일 | 1,584건 | 4432s
[04:20:27]   12700/50673 타일 | 1,613건 | 4438s
[04:20:33]   12800/50673 타일 | 1,646건 | 4443s
[04:20:38]   12900/50673 타일 | 1,657건 | 4449s
[04:20:44]   13000/50673 타일 | 1,667건 | 4454s
[04:20:49]   13100/50673 타일 | 1,684건 | 4459s
[04:20:54]   13200/50673 타일 | 1,684건 | 4465s
[04:20:59]   13300/50673 타일 | 1,684건 | 4470s
[04:21:05]   13400/50673 타일 | 1,684건 | 4475s
[04:21:10]   13500/50673 타일 | 1,684건 | 4480s
[04:21:15]   13600/50673 타일 | 1,684건 | 4485s
[04:21:20]   13700/50673 타일 | 1,685건 | 4490s
[04:21:25]   13800/50673 타일 | 1,695건 | 4495s
[04:21:30]   13900/50673 타일 | 1,695건 | 4500s
[04:21:36]   14000/50673 타일 | 1,695건 | 4506s
[04:21:41]   14100/50673 타일 | 1,695건 | 4511s
[04:21:46]   14200/50673 타일 | 1,695건 | 4516s
[04:21:51]   14300/50673 타일 | 1,695건 | 4521s
[04:21:56]   14400/50673 타일 | 1,695건 | 4526s
[04:22:01]   14500/50673 타일 | 1,695건 | 4531s
[04:22:07]   14600/50673 타일 | 1,698건 | 4537s
[04:22:12]   14700/50673 타일 | 1,698건 | 4543s
[04:22:17]   14800/50673 타일 | 1,698건 | 4548s
[04:22:23]   14900/50673 타일 | 1,698건 | 4553s
[04:22:28]   15000/50673 타일 | 1,698건 | 4558s
[04:22:33]   15100/50673 타일 | 1,698건 | 4563s
[04:22:38]   15200/50673 타일 | 1,698건 | 4568s
[04:22:43]   15300/50673 타일 | 1,698건 | 4573s
[04:22:48]   15400/50673 타일 | 1,698건 | 4579s
[04:22:53]   15500/50673 타일 | 1,698건 | 4584s
[04:22:59]   15600/50673 타일 | 1,698건 | 4589s
[04:23:04]   15700/50673 타일 | 1,698건 | 4594s
[04:23:09]   15800/50673 타일 | 1,698건 | 4599s
[04:23:14]   15900/50673 타일 | 1,699건 | 4605s
[04:23:20]   16000/50673 타일 | 1,699건 | 4610s
[04:23:24]   16100/50673 타일 | 1,699건 | 4615s
[04:23:29]   16200/50673 타일 | 1,699건 | 4619s
[04:23:34]   16300/50673 타일 | 1,699건 | 4625s
[04:23:39]   16400/50673 타일 | 1,699건 | 4630s
[04:23:44]   16500/50673 타일 | 1,699건 | 4635s
[04:23:49]   16600/50673 타일 | 1,699건 | 4639s
[04:23:54]   16700/50673 타일 | 1,699건 | 4644s
[04:23:59]   16800/50673 타일 | 1,699건 | 4649s
[04:24:04]   16900/50673 타일 | 1,699건 | 4654s
[04:24:09]   17000/50673 타일 | 1,699건 | 4660s
[04:24:14]   17100/50673 타일 | 1,699건 | 4665s
[04:24:19]   17200/50673 타일 | 1,699건 | 4669s
[04:24:24]   17300/50673 타일 | 1,699건 | 4674s
[04:24:29]   17400/50673 타일 | 1,699건 | 4679s
[04:24:34]   17500/50673 타일 | 1,699건 | 4684s
[04:24:39]   17600/50673 타일 | 1,703건 | 4690s
[04:24:45]   17700/50673 타일 | 1,742건 | 4695s
[04:24:50]   17800/50673 타일 | 1,746건 | 4700s
[04:24:55]   17900/50673 타일 | 1,748건 | 4705s
[04:25:00]   18000/50673 타일 | 1,756건 | 4711s
[04:25:06]   18100/50673 타일 | 1,756건 | 4716s
[04:25:11]   18200/50673 타일 | 1,756건 | 4721s
[04:25:16]   18300/50673 타일 | 1,756건 | 4726s
[04:25:22]   18400/50673 타일 | 1,756건 | 4732s
[04:25:27]   18500/50673 타일 | 1,756건 | 4737s
[04:25:32]   18600/50673 타일 | 1,756건 | 4742s
[04:25:37]   18700/50673 타일 | 1,756건 | 4747s
[04:25:42]   18800/50673 타일 | 1,756건 | 4752s
[04:25:46]   18900/50673 타일 | 1,756건 | 4757s
[04:25:51]   19000/50673 타일 | 1,756건 | 4762s
[04:25:56]   19100/50673 타일 | 1,756건 | 4767s
[04:26:01]   19200/50673 타일 | 1,756건 | 4772s
[04:26:06]   19300/50673 타일 | 1,756건 | 4777s
[04:26:11]   19400/50673 타일 | 1,756건 | 4782s
[04:26:16]   19500/50673 타일 | 1,756건 | 4787s
[04:26:21]   19600/50673 타일 | 1,756건 | 4792s
[04:26:26]   19700/50673 타일 | 1,756건 | 4797s
[04:26:32]   19800/50673 타일 | 1,756건 | 4802s
[04:26:37]   19900/50673 타일 | 1,761건 | 4807s
[04:26:42]   20000/50673 타일 | 1,761건 | 4813s
[04:26:48]   20100/50673 타일 | 1,761건 | 4818s
[04:26:52]   20200/50673 타일 | 1,761건 | 4823s
[04:26:57]   20300/50673 타일 | 1,761건 | 4828s
[04:27:03]   20400/50673 타일 | 1,761건 | 4833s
[04:27:08]   20500/50673 타일 | 1,761건 | 4838s
[04:27:13]   20600/50673 타일 | 1,761건 | 4843s
[04:27:18]   20700/50673 타일 | 1,765건 | 4848s
[04:27:23]   20800/50673 타일 | 1,765건 | 4853s
[04:27:28]   20900/50673 타일 | 1,765건 | 4858s
[04:27:33]   21000/50673 타일 | 1,765건 | 4863s
[04:27:38]   21100/50673 타일 | 1,765건 | 4868s
[04:27:43]   21200/50673 타일 | 1,765건 | 4873s
[04:27:48]   21300/50673 타일 | 1,765건 | 4879s
[04:27:54]   21400/50673 타일 | 1,765건 | 4884s
